,year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown,file
36,2017,Kharif,Adilabad,Adilabad R,Maize,16.0,0.0,File 0
37,2017,Kharif,Adilabad,Adilabad U,Maize,0.0,0.0,File 0
38,2017,Kharif,Adilabad,Mavala,Maize,0.0,0.0,File 0
39,2017,Kharif,Adilabad,Jainad,Maize,0.0,0.0,File 0
40,2017,Kharif,Adilabad,Bela,Maize,0.0,0.0,File 0
41,2017,Kharif,Adilabad,Ichoda,Maize,14.0,25.0,File 0
42,2017,Kharif,Adilabad,Sirikonda,Maize,0.0,21.0,File 0
43,2017,Kharif,Adilabad,Gudihathnoor,Maize,22.0,0.0,File 0
44,2017,Kharif,Adilabad,Bheempur,Maize,0.0,1.0,File 0
45,2017,Kharif,Adilabad,Tamsi,Maize,2.0,2.0,File 0
46,2017,Kharif,Adilabad,Talamadugu,Maize,10.0,20.0,File 0
47,2017,Kharif,Adilabad,Boath,Maize,21.0,23.0,File 0
48,2017,Kharif,Adilabad,Bazarhathnoor,Maize,82.0,36.0,File 0
49,2017,Kharif,Adilabad,Neradigonda,Maize,8.0,40.0,File 0
50,2017,Kharif,Adilabad,Utnoor,Maize,138.0,230.0,File 0
51,2017,Kharif,Adilabad,Inderavelly,Maize,41.0,52.0,File 0
52,2017,Kharif,Adilabad,Narnoor,Maize,144.0,62.0,File 0
53,2017,Kharif,Adilabad,Gadiguda,Maize,144.0,28.0,File 0
198,2017,Kharif,Adilabad,Adilabad R,Onions,0.0,0.0,File 0
199,2017,Kharif,Adilabad,Adilabad U,Onions,0.0,0.0,File 0
200,2017,Kharif,Adilabad,Mavala,Onions,0.0,0.0,File 0
201,2017,Kharif,Adilabad,Jainad,Onions,0.0,0.0,File 0
202,2017,Kharif,Adilabad,Bela,Onions,0.0,0.0,File 0
203,2017,Kharif,Adilabad,Ichoda,Onions,0.0,4.0,File 0
204,2017,Kharif,Adilabad,Sirikonda,Onions,0.0,0.0,File 0
205,2017,Kharif,Adilabad,Gudihathnoor,Onions,0.0,0.0,File 0
206,2017,Kharif,Adilabad,Bheempur,Onions,0.0,0.0,File 0
207,2017,Kharif,Adilabad,Tamsi,Onions,0.0,0.0,File 0
208,2017,Kharif,Adilabad,Talamadugu,Onions,0.0,0.0,File 0
209,2017,Kharif,Adilabad,Boath,Onions,0.0,0.0,File 0
210,2017,Kharif,Adilabad,Bazarhathnoor,Onions,0.0,0.0,File 0
211,2017,Kharif,Adilabad,Neradigonda,Onions,0.0,0.0,File 0
212,2017,Kharif,Adilabad,Utnoor,Onions,0.0,0.0,File 0
213,2017,Kharif,Adilabad,Inderavelly,Onions,0.0,0.0,File 0
214,2017,Kharif,Adilabad,Narnoor,Onions,0.0,0.0,File 0
215,2017,Kharif,Adilabad,Gadiguda,Onions,0.0,0.0,File 0
234,2017,Kharif,Adilabad,Adilabad R,Cotton,6102.749999999998,6392.999999999998,File 0
235,2017,Kharif,Adilabad,Adilabad U,Cotton,0.0,59.0,File 0
236,2017,Kharif,Adilabad,Mavala,Cotton,0.0,777.0,File 0
237,2017,Kharif,Adilabad,Jainad,Cotton,6102.749999999998,6392.999999999998,File 0
238,2017,Kharif,Adilabad,Bela,Cotton,6102.749999999998,6392.999999999998,File 0
239,2017,Kharif,Adilabad,Ichoda,Cotton,6102.749999999998,6392.999999999998,File 0
240,2017,Kharif,Adilabad,Sirikonda,Cotton,0.0,2503.0,File 0
241,2017,Kharif,Adilabad,Gudihathnoor,Cotton,6102.749999999998,4300.0,File 0
242,2017,Kharif,Adilabad,Bheempur,Cotton,0.0,5785.0,File 0
243,2017,Kharif,Adilabad,Tamsi,Cotton,6102.749999999998,3862.0,File 0
244,2017,Kharif,Adilabad,Talamadugu,Cotton,6102.749999999998,6392.999999999998,File 0
245,2017,Kharif,Adilabad,Boath,Cotton,6102.749999999998,6392.999999999998,File 0
246,2017,Kharif,Adilabad,Bazarhathnoor,Cotton,6102.749999999998,6082.0,File 0
247,2017,Kharif,Adilabad,Neradigonda,Cotton,6032.0,4395.0,File 0
248,2017,Kharif,Adilabad,Utnoor,Cotton,6102.749999999998,6392.999999999998,File 0
249,2017,Kharif,Adilabad,Inderavelly,Cotton,6102.749999999998,6050.0,File 0
250,2017,Kharif,Adilabad,Narnoor,Cotton,6102.749999999998,4054.0,File 0
251,2017,Kharif,Adilabad,Gadiguda,Cotton,6102.749999999998,6202.0,File 0
468,2018,Kharif,Adilabad,Adilabad R,Maize,10.0,0.0,File 1
469,2018,Kharif,Adilabad,Mavala,Maize,0.0,0.0,File 1
470,2018,Kharif,Adilabad,Adilabad U,Maize,0.0,0.0,File 1
471,2018,Kharif,Adilabad,Jainath,Maize,0.0,0.0,File 1
472,2018,Kharif,Adilabad,Bela,Maize,0.0,0.0,File 1
473,2018,Kharif,Adilabad,Ichoda,Maize,17.0,13.0,File 1
474,2018,Kharif,Adilabad,Srikonda,Maize,4.0,11.0,File 1
475,2018,Kharif,Adilabad,Gudihathnoor,Maize,24.0,21.0,File 1
476,2018,Kharif,Adilabad,Utnoor,Maize,148.0,91.0,File 1
477,2018,Kharif,Adilabad,Inderavelly,Maize,49.0,52.0,File 1
478,2018,Kharif,Adilabad,Narnoor,Maize,106.0,15.0,File 1
479,2018,Kharif,Adilabad,Gadiguda,Maize,12.0,63.0,File 1
480,2018,Kharif,Adilabad,Boath,Maize,18.0,4.0,File 1
481,2018,Kharif,Adilabad,Bazarhatnoor,Maize,73.0,18.0,File 1
482,2018,Kharif,Adilabad,Neradigonda,Maize,15.0,30.0,File 1
483,2018,Kharif,Adilabad,Bheempur,Maize,0.0,1.0,File 1
484,2018,Kharif,Adilabad,Tamsi,Maize,3.0,0.0,File 1
485,2018,Kharif,Adilabad,Talamadugu,Maize,14.0,9.0,File 1
