,District,Year-Month,CommName,Year,Month,Arrivals,Model,Weighted_Modal
0,Adilabad,2014-01-01,Cotton,2014,Jan,157445.7999999999,4907.521739130435,4908.207799763474
1,Adilabad,2014-02-01,Cotton,2014,Feb,144119.19999999995,4665.021739130435,4689.159516566841
2,Adilabad,2014-03-01,Cotton,2014,Mar,84064.79999999999,4645.304347826087,4648.1730593542125
3,Adilabad,2014-04-01,Cotton,2014,Apr,81001.79999999999,4289.105263157895,4218.191163653154
4,Adilabad,2014-05-01,Cotton,2014,May,41765.0,4120.7,4227.766550939782
5,Adilabad,2014-10-01,Cotton,2014,Oct,39586.99999999998,3859.0833333333335,3866.357905372976
6,Adilabad,2014-11-01,Cotton,2014,Nov,132074.3999999999,3932.5652173913045,3943.821243178088
7,Adilabad,2014-12-01,Cotton,2014,Dec,146992.9999999999,3960.0,3968.4945732109686
8,Adilabad,2015-01-01,Cotton,2015,Jan,111461.19999999994,3915.0,3888.042484739084
9,Adilabad,2015-02-01,Cotton,2015,Feb,38133.39999999999,4149.75,4135.71548301489
10,Adilabad,2015-04-01,Cotton,2015,Apr,33534.0,3764.8478260869565,3793.997629271784
11,Adilabad,2015-05-01,Cotton,2015,May,1776.0,3682.5454545454545,3683.2184684684685
12,Adilabad,2015-09-01,Cotton,2015,Sep,100.0,4075.0,4075.0
13,Adilabad,2015-10-01,Cotton,2015,Oct,75702.19999999995,4017.75,4112.072868423903
14,Adilabad,2015-11-01,Cotton,2015,Nov,196994.8099999999,4024.705882352941,4033.628026443945
15,Adilabad,2015-12-01,Cotton,2015,Dec,232375.9999999999,4170.3875,4151.2740937101935
16,Adilabad,2016-01-01,Cotton,2016,Jan,146656.99999999994,4395.1875,4413.973056860566
17,Adilabad,2016-02-01,Cotton,2016,Feb,86593.19999999998,4240.35,4256.9566478661145
18,Adilabad,2016-03-01,Cotton,2016,Mar,42578.0,4211.227272727273,4217.046831697121
19,Adilabad,2016-04-01,Cotton,2016,Apr,1393.0,4211.142857142857,4200.031586503948
20,Adilabad,2016-10-01,Cotton,2016,Oct,14201.599999999991,4637.666666666667,4628.075568949977
21,Adilabad,2016-11-01,Cotton,2016,Nov,286061.42999999993,4799.282608695652,4812.531619939115
22,Adilabad,2016-12-01,Cotton,2016,Dec,375673.0499999999,4968.4098360655735,4978.767648890438
23,Adilabad,2017-01-01,Cotton,2017,Jan,254464.6999999999,5355.971428571429,5383.742465379284
24,Adilabad,2017-02-01,Cotton,2017,Feb,276339.7799999999,5427.9051724137935,5449.548657923951
25,Adilabad,2017-03-01,Cotton,2017,Mar,233205.35999999993,5326.170212765957,5341.932666513326
26,Adilabad,2017-04-01,Cotton,2017,Apr,62962.36,5258.789473684211,5274.825278944436
27,Adilabad,2017-05-01,Cotton,2017,May,6898.1,4666.55,4602.899668024528
28,Adilabad,2017-10-01,Cotton,2017,Oct,140619.63999999993,4295.282051282052,4276.873597528767
29,Adilabad,2017-11-01,Cotton,2017,Nov,369098.59999999986,4384.909420289855,4390.834895513015
30,Adilabad,2017-12-01,Cotton,2017,Dec,272878.92999999993,4726.723214285715,4750.999016651816
31,Adilabad,2018-01-01,Cotton,2018,Jan,266770.7599999999,4780.666666666667,4839.8753398236
32,Adilabad,2018-02-01,Cotton,2018,Feb,169110.36999999997,4441.320987654321,4467.836762878586
33,Adilabad,2018-03-01,Cotton,2018,Mar,150838.99999999997,4316.625,4473.769867209408
34,Adilabad,2018-04-01,Cotton,2018,Apr,34143.0,4373.0,4365.5798260258325
35,Adilabad,2018-05-01,Cotton,2018,May,3216.0,4383.555555555556,4326.753731343284
36,Adilabad,2018-10-01,Cotton,2018,Oct,69291.89999999997,5596.863636363636,5581.436276101535
37,Adilabad,2018-11-01,Cotton,2018,Nov,189237.6099999999,5579.511111111111,5573.8298726664325
38,Adilabad,2018-12-01,Cotton,2018,Dec,218529.34999999992,5460.090909090909,5431.772409426926
39,Adilabad,2019-01-01,Cotton,2019,Jan,332376.33999999985,5405.17032967033,5400.733328611778
40,Adilabad,2019-02-01,Cotton,2019,Feb,235945.0499999999,5328.4276315789475,5334.842143732196
41,Adilabad,2019-03-01,Cotton,2019,Mar,68526.51999999999,5461.208333333333,5472.332301202513
42,Adilabad,2019-04-01,Cotton,2019,Apr,14065.0,5503.277777777777,5556.381372200498
43,Adilabad,2019-11-01,Cotton,2019,Nov,259275.4299999999,5226.652173913043,5149.137257471716
44,Adilabad,2019-12-01,Cotton,2019,Dec,445975.07999999984,5285.411214953271,5301.6337956596135
45,Badradri (Kothagudem),2016-12-01,Paddy,2016,Dec,492.0,1490.0,1490.0
46,Badradri (Kothagudem),2017-11-01,Cotton,2017,Nov,22712.9,3950.5,3938.337530654386
47,Badradri (Kothagudem),2017-12-01,Cotton,2017,Dec,4004.9,4228.571428571428,4213.760643212065
48,Badradri (Kothagudem),2018-11-01,Cotton,2018,Nov,21078.3,5450.0,5450.0
49,Badradri (Kothagudem),2018-12-01,Cotton,2018,Dec,32956.5,5322.083333333333,5325.384188248146
50,Badradri (Kothagudem),2019-01-01,Cotton,2019,Jan,29118.65,5306.7,5302.257903439891
51,Badradri (Kothagudem),2019-02-01,Cotton,2019,Feb,12449.05,5355.347826086957,5356.969953530591
52,Badradri (Kothagudem),2019-11-01,Cotton,2019,Nov,4056.8999999999996,5367.0,5367.0
53,Badradri (Kothagudem),2019-12-01,Cotton,2019,Dec,13054.8,5367.0,5367.0
54,Hyderabad,2015-10-01,Chillies(Dry),2015,Oct,1968.0,5544.705882352941,5471.8140243902435
55,Hyderabad,2015-10-01,Onions,2015,Oct,124037.79999999993,2283.3333333333335,2284.5355206235517
56,Hyderabad,2016-10-01,Chillies(Dry),2016,Oct,5634.0,5610.0,5610.0
57,Hyderabad,2016-10-01,Onions,2016,Oct,144653.9999999999,1100.0,1100.0
58,Hyderabad,2016-11-01,Chillies(Dry),2016,Nov,766.0,2150.0,2150.0
59,Hyderabad,2016-11-01,Onions,2016,Nov,12747.0,1103.7037037037037,1103.122303287048
60,Hyderabad,2016-12-01,Chillies(Dry),2016,Dec,31168.0,5610.0,5610.0
61,Hyderabad,2016-12-01,Onions,2016,Dec,193618.79999999993,1100.0,1100.0
62,Hyderabad,2017-01-01,Chillies(Dry),2017,Jan,57753.0,5610.0,5610.0
63,Hyderabad,2017-01-01,Onions,2017,Jan,180944.19999999992,1100.0,1100.0
64,Hyderabad,2017-02-01,Chillies(Dry),2017,Feb,83199.0,5472.727272727273,5485.452950155651
65,Hyderabad,2017-02-01,Onions,2017,Feb,162233.59999999992,1139.5833333333333,1184.9377071087617
66,Hyderabad,2017-03-01,Chillies(Dry),2017,Mar,89132.59999999999,4135.714285714285,4403.439931068991
67,Hyderabad,2017-03-01,Onions,2017,Mar,176141.3999999999,1147.5,1232.242618714283
68,Hyderabad,2017-04-01,Chillies(Dry),2017,Apr,61632.799999999996,3166.6666666666665,3125.9313222829405
69,Hyderabad,2017-04-01,Onions,2017,Apr,160663.59999999992,1100.0,1100.0
70,Hyderabad,2017-05-01,Chillies(Dry),2017,May,35894.0,2483.0,2569.584610241266
71,Hyderabad,2017-05-01,Onions,2017,May,169059.59999999992,1100.0,1100.0
72,Hyderabad,2017-06-01,Chillies(Dry),2017,Jun,16609.0,2697.5,2721.9369016798123
73,Hyderabad,2017-06-01,Onions,2017,Jun,155190.59999999992,1101.4705882352941,1100.2255291235422
74,Hyderabad,2017-07-01,Chillies(Dry),2017,Jul,9517.0,3341.0,2155.6051276662815
75,Hyderabad,2017-07-01,Onions,2017,Jul,171463.39999999994,1101.639344262295,1100.065320062474
76,Hyderabad,2017-08-01,Chillies(Dry),2017,Aug,10572.799999999996,4714.411764705882,2444.9819347760294
77,Hyderabad,2017-08-01,Onions,2017,Aug,107309.79999999996,1686.4583333333333,1643.610182853756
78,Hyderabad,2017-09-01,Chillies(Dry),2017,Sep,13092.0,4905.909090909091,3487.792545065689
79,Hyderabad,2017-09-01,Onions,2017,Sep,162704.7999999999,1296.3636363636363,1249.0913605499038
80,Hyderabad,2017-10-01,Chillies(Dry),2017,Oct,7369.0,5002.608695652174,5119.966074094178
81,Hyderabad,2017-10-01,Onions,2017,Oct,174580.7999999999,1718.939393939394,1828.2308249246194
82,Hyderabad,2017-11-01,Chillies(Dry),2017,Nov,15389.0,5354.0,5255.793748781597
83,Hyderabad,2017-11-01,Onions,2017,Nov,185941.19999999992,2430.769230769231,2541.740722335878
84,Hyderabad,2017-12-01,Chillies(Dry),2017,Dec,18964.0,5083.5,4551.126871967939
85,Hyderabad,2017-12-01,Onions,2017,Dec,141840.59999999995,2693.3333333333335,2657.4100081358933
86,Hyderabad,2018-01-01,Chillies(Dry),2018,Jan,23531.0,5347.272727272727,5360.062045811907
87,Hyderabad,2018-01-01,Onions,2018,Jan,161026.59999999992,2512.6666666666665,2563.5114943742215
88,Hyderabad,2018-02-01,Chillies(Dry),2018,Feb,44943.0,5610.0,5610.0
89,Hyderabad,2018-02-01,Onions,2018,Feb,172952.3999999999,1568.0597014925372,1610.272814947928
90,Hyderabad,2018-03-01,Chillies(Dry),2018,Mar,45600.0,5194.545454545455,5562.313377192982
91,Hyderabad,2018-03-01,Onions,2018,Mar,165630.99999999994,1109.375,1100.8857037631844
92,Hyderabad,2018-04-01,Chillies(Dry),2018,Apr,56055.0,5610.0,5610.0
93,Hyderabad,2018-04-01,Onions,2018,Apr,178859.19999999995,1100.0,1100.0
94,Hyderabad,2018-05-01,Chillies(Dry),2018,May,30768.799999999996,5340.6,4856.194326720575
