,Year-Month,Year,Month,District,Mandal,cummRainFall
0,2004-06-01,2004,June,Adilabad,Bheempoor,73.9
1,2005-06-01,2005,June,Adilabad,Bheempoor,150.2
2,2006-06-01,2006,June,Adilabad,Bheempoor,184.9
3,2007-06-01,2007,June,Adilabad,Bheempoor,279.2
4,2008-06-01,2008,June,Adilabad,Bheempoor,156.2
5,2009-06-01,2009,June,Adilabad,Bheempoor,158.0
6,2010-06-01,2010,June,Adilabad,Bheempoor,96.4
7,2011-06-01,2011,June,Adilabad,Bheempoor,103.2
8,2012-06-01,2012,June,Adilabad,Bheempoor,86.4
9,2013-06-01,2013,June,Adilabad,Bheempoor,411.45
10,2014-06-01,2014,June,Adilabad,Bheempoor,57.6
11,2015-06-01,2015,June,Adilabad,Bheempoor,334.6
12,2016-06-01,2016,June,Adilabad,Bheempoor,334.0
13,2004-06-01,2004,June,Adilabad,Jainad,98.0
14,2005-06-01,2005,June,Adilabad,Jainad,200.0
15,2006-06-01,2006,June,Adilabad,Jainad,166.4
16,2007-06-01,2007,June,Adilabad,Jainad,241.6
17,2008-06-01,2008,June,Adilabad,Jainad,98.2
18,2009-06-01,2009,June,Adilabad,Jainad,130.0
19,2010-06-01,2010,June,Adilabad,Jainad,222.2
20,2011-06-01,2011,June,Adilabad,Jainad,108.2
21,2012-06-01,2012,June,Adilabad,Jainad,161.8
22,2013-06-01,2013,June,Adilabad,Jainad,366.6
23,2014-06-01,2014,June,Adilabad,Jainad,45.0
24,2015-06-01,2015,June,Adilabad,Jainad,411.45
25,2016-06-01,2016,June,Adilabad,Jainad,219.2
26,2004-06-01,2004,June,Adilabad,Bela,122.8
27,2005-06-01,2005,June,Adilabad,Bela,171.8
28,2006-06-01,2006,June,Adilabad,Bela,237.8
29,2007-06-01,2007,June,Adilabad,Bela,222.5
30,2008-06-01,2008,June,Adilabad,Bela,116.6
31,2009-06-01,2009,June,Adilabad,Bela,128.6
32,2010-06-01,2010,June,Adilabad,Bela,123.8
33,2011-06-01,2011,June,Adilabad,Bela,48.4
34,2012-06-01,2012,June,Adilabad,Bela,200.0
35,2013-06-01,2013,June,Adilabad,Bela,411.45
36,2014-06-01,2014,June,Adilabad,Bela,137.6
37,2015-06-01,2015,June,Adilabad,Bela,267.8
38,2016-06-01,2016,June,Adilabad,Bela,178.0
39,2004-06-01,2004,June,Adilabad,Gadiguda,44.0
40,2005-06-01,2005,June,Adilabad,Gadiguda,83.0
41,2006-06-01,2006,June,Adilabad,Gadiguda,90.0
42,2007-06-01,2007,June,Adilabad,Gadiguda,265.2
43,2008-06-01,2008,June,Adilabad,Gadiguda,41.0
44,2009-06-01,2009,June,Adilabad,Gadiguda,51.4
45,2010-06-01,2010,June,Adilabad,Gadiguda,105.0
46,2011-06-01,2011,June,Adilabad,Gadiguda,125.0
47,2012-06-01,2012,June,Adilabad,Gadiguda,34.0
48,2013-06-01,2013,June,Adilabad,Gadiguda,302.0
49,2014-06-01,2014,June,Adilabad,Gadiguda,106.6
50,2015-06-01,2015,June,Adilabad,Gadiguda,287.8
51,2016-06-01,2016,June,Adilabad,Gadiguda,281.0
52,2004-06-01,2004,June,Adilabad,Narnoor,44.0
53,2005-06-01,2005,June,Adilabad,Narnoor,83.0
54,2006-06-01,2006,June,Adilabad,Narnoor,90.0
55,2007-06-01,2007,June,Adilabad,Narnoor,265.2
56,2008-06-01,2008,June,Adilabad,Narnoor,41.0
57,2009-06-01,2009,June,Adilabad,Narnoor,51.4
58,2010-06-01,2010,June,Adilabad,Narnoor,105.0
59,2011-06-01,2011,June,Adilabad,Narnoor,125.0
60,2012-06-01,2012,June,Adilabad,Narnoor,34.0
61,2013-06-01,2013,June,Adilabad,Narnoor,302.0
62,2014-06-01,2014,June,Adilabad,Narnoor,106.6
63,2015-06-01,2015,June,Adilabad,Narnoor,287.8
64,2016-06-01,2016,June,Adilabad,Narnoor,281.0
65,2004-06-01,2004,June,Adilabad,Inderavelly,102.6
66,2005-06-01,2005,June,Adilabad,Inderavelly,141.4
67,2006-06-01,2006,June,Adilabad,Inderavelly,206.4
68,2007-06-01,2007,June,Adilabad,Inderavelly,164.2
69,2008-06-01,2008,June,Adilabad,Inderavelly,119.2
70,2009-06-01,2009,June,Adilabad,Inderavelly,81.4
71,2010-06-01,2010,June,Adilabad,Inderavelly,67.6
72,2011-06-01,2011,June,Adilabad,Inderavelly,169.8
73,2012-06-01,2012,June,Adilabad,Inderavelly,127.4
74,2013-06-01,2013,June,Adilabad,Inderavelly,395.4
75,2014-06-01,2014,June,Adilabad,Inderavelly,62.0
76,2015-06-01,2015,June,Adilabad,Inderavelly,411.45
77,2016-06-01,2016,June,Adilabad,Inderavelly,194.4
78,2004-06-01,2004,June,Adilabad,Gudihathnur,145.0
79,2005-06-01,2005,June,Adilabad,Gudihathnur,149.4
80,2006-06-01,2006,June,Adilabad,Gudihathnur,168.9
81,2007-06-01,2007,June,Adilabad,Gudihathnur,185.6
82,2008-06-01,2008,June,Adilabad,Gudihathnur,140.8
83,2009-06-01,2009,June,Adilabad,Gudihathnur,198.2
84,2010-06-01,2010,June,Adilabad,Gudihathnur,101.4
85,2011-06-01,2011,June,Adilabad,Gudihathnur,125.2
86,2012-06-01,2012,June,Adilabad,Gudihathnur,108.4
87,2013-06-01,2013,June,Adilabad,Gudihathnur,411.45
88,2014-06-01,2014,June,Adilabad,Gudihathnur,84.2
89,2015-06-01,2015,June,Adilabad,Gudihathnur,341.6
90,2016-06-01,2016,June,Adilabad,Gudihathnur,232.6
91,2004-06-01,2004,June,Adilabad,Adilabad Rural,202.8
92,2005-06-01,2005,June,Adilabad,Adilabad Rural,170.8
93,2006-06-01,2006,June,Adilabad,Adilabad Rural,181.8
94,2007-06-01,2007,June,Adilabad,Adilabad Rural,275.9
95,2008-06-01,2008,June,Adilabad,Adilabad Rural,91.9
96,2009-06-01,2009,June,Adilabad,Adilabad Rural,176.4
97,2010-06-01,2010,June,Adilabad,Adilabad Rural,104.4
98,2011-06-01,2011,June,Adilabad,Adilabad Rural,110.4
99,2012-06-01,2012,June,Adilabad,Adilabad Rural,133.8
100,2013-06-01,2013,June,Adilabad,Adilabad Rural,411.45
101,2014-06-01,2014,June,Adilabad,Adilabad Rural,59.0
102,2015-06-01,2015,June,Adilabad,Adilabad Rural,344.4
103,2016-06-01,2016,June,Adilabad,Adilabad Rural,321.8
104,2004-06-01,2004,June,Adilabad,Adilabad Urban,202.8
105,2005-06-01,2005,June,Adilabad,Adilabad Urban,170.8
106,2006-06-01,2006,June,Adilabad,Adilabad Urban,181.8
107,2007-06-01,2007,June,Adilabad,Adilabad Urban,275.9
108,2008-06-01,2008,June,Adilabad,Adilabad Urban,91.9
109,2009-06-01,2009,June,Adilabad,Adilabad Urban,176.4
110,2010-06-01,2010,June,Adilabad,Adilabad Urban,104.4
111,2011-06-01,2011,June,Adilabad,Adilabad Urban,110.4
112,2012-06-01,2012,June,Adilabad,Adilabad Urban,133.8
113,2013-06-01,2013,June,Adilabad,Adilabad Urban,411.45
114,2014-06-01,2014,June,Adilabad,Adilabad Urban,59.0
115,2015-06-01,2015,June,Adilabad,Adilabad Urban,344.4
116,2016-06-01,2016,June,Adilabad,Adilabad Urban,321.8
117,2004-06-01,2004,June,Adilabad,Mavala,202.8
118,2005-06-01,2005,June,Adilabad,Mavala,170.8
119,2006-06-01,2006,June,Adilabad,Mavala,181.8
120,2007-06-01,2007,June,Adilabad,Mavala,275.9
121,2008-06-01,2008,June,Adilabad,Mavala,91.9
122,2009-06-01,2009,June,Adilabad,Mavala,176.4
123,2010-06-01,2010,June,Adilabad,Mavala,104.4
124,2011-06-01,2011,June,Adilabad,Mavala,110.4
125,2012-06-01,2012,June,Adilabad,Mavala,133.8
126,2013-06-01,2013,June,Adilabad,Mavala,411.45
127,2014-06-01,2014,June,Adilabad,Mavala,59.0
128,2015-06-01,2015,June,Adilabad,Mavala,344.4
129,2016-06-01,2016,June,Adilabad,Mavala,321.8
130,2004-06-01,2004,June,Adilabad,Tamsi,73.9
131,2005-06-01,2005,June,Adilabad,Tamsi,150.2
132,2006-06-01,2006,June,Adilabad,Tamsi,184.9
133,2007-06-01,2007,June,Adilabad,Tamsi,279.2
134,2008-06-01,2008,June,Adilabad,Tamsi,156.2
135,2009-06-01,2009,June,Adilabad,Tamsi,158.0
136,2010-06-01,2010,June,Adilabad,Tamsi,96.4
137,2011-06-01,2011,June,Adilabad,Tamsi,103.2
138,2012-06-01,2012,June,Adilabad,Tamsi,86.4
139,2013-06-01,2013,June,Adilabad,Tamsi,411.45
140,2014-06-01,2014,June,Adilabad,Tamsi,57.6
141,2015-06-01,2015,June,Adilabad,Tamsi,334.6
142,2016-06-01,2016,June,Adilabad,Tamsi,334.0
